timestamp,total_gas_consumption,peak_power,actual_consumption,total_consumption_day,total_consumption_night,actual_injection,total_injection_day,total_injection_night
240815232902,2702.727,11.744,.369,9303.297,8071.923,.000,2280.634,889.889
240815232903,2702.727,11.744,.371,9303.297,8071.923,.000,2280.634,889.889
240815232904,2702.727,11.744,.369,9303.297,8071.923,.000,2280.634,889.889
240815232932,2702.727,11.744,.369,9303.297,8071.926,.000,2280.634,889.889
240815232933,2702.727,11.744,.370,9303.297,8071.926,.000,2280.634,889.889
240815232934,2702.727,11.744,.369,9303.297,8071.926,.000,2280.634,889.889
240815233002,2702.727,11.744,.352,9303.297,8071.929,.000,2280.634,889.889
240815233003,2702.727,11.744,.352,9303.297,8071.929,.000,2280.634,889.889
240815233004,2702.727,11.744,.352,9303.297,8071.929,.000,2280.634,889.889
240815233032,2702.727,11.744,.351,9303.297,8071.932,.000,2280.634,889.889
240815233033,2702.727,11.744,.350,9303.297,8071.932,.000,2280.634,889.889
240815233034,2702.727,11.744,.350,9303.297,8071.932,.000,2280.634,889.889
240815233102,2702.727,11.744,.351,9303.297,8071.935,.000,2280.634,889.889
240815233103,2702.727,11.744,.350,9303.297,8071.935,.000,2280.634,889.889
240815233104,2702.727,11.744,.350,9303.297,8071.935,.000,2280.634,889.889
240815233132,2702.727,11.744,.350,9303.297,8071.938,.000,2280.634,889.889
240815233133,2702.727,11.744,.348,9303.297,8071.938,.000,2280.634,889.889
240815233134,2702.727,11.744,.351,9303.297,8071.938,.000,2280.634,889.889
240815233202,2702.727,11.744,.349,9303.297,8071.941,.000,2280.634,889.889
240815233203,2702.727,11.744,.349,9303.297,8071.941,.000,2280.634,889.889
240815233204,2702.727,11.744,.350,9303.297,8071.941,.000,2280.634,889.889
240815233232,2702.727,11.744,.349,9303.297,8071.944,.000,2280.634,889.889
240815233233,2702.727,11.744,.349,9303.297,8071.944,.000,2280.634,889.889
240815233234,2702.727,11.744,.351,9303.297,8071.944,.000,2280.634,889.889
240815233303,2702.727,11.744,.350,9303.297,8071.947,.000,2280.634,889.889
240815233304,2702.727,11.744,.349,9303.297,8071.947,.000,2280.634,889.889
240815233333,2702.727,11.744,.354,9303.297,8071.950,.000,2280.634,889.889
240815233334,2702.727,11.744,.354,9303.297,8071.950,.000,2280.634,889.889
240815233335,2702.727,11.744,.349,9303.297,8071.950,.000,2280.634,889.889
240815233413,2702.727,11.744,.351,9303.297,8071.954,.000,2280.634,889.889
240815233414,2702.727,11.744,.350,9303.297,8071.954,.000,2280.634,889.889
240815233415,2702.727,11.744,.355,9303.297,8071.954,.000,2280.634,889.889
240815233443,2702.727,11.744,.349,9303.297,8071.956,.000,2280.634,889.889
240815233444,2702.727,11.744,.352,9303.297,8071.957,.000,2280.634,889.889
240815233445,2702.727,11.744,.355,9303.297,8071.957,.000,2280.634,889.889
240815233513,2702.727,11.744,.347,9303.297,8071.959,.000,2280.634,889.889
